assembly	accession	serotype	segment	host	db_xref
GCA_037915555.1	CY019951	H1N1	8	Human	taxon:421955
GCA_038220955.1	CY085603	H1N2	1	swine	taxon:991737
GCA_038220955.1	CY085604	H1N2	2	swine	taxon:991737
GCA_038220955.1	CY085605	H1N2	3	swine	taxon:991737
GCA_038220955.1	CY085606	H1N2	4	swine	taxon:991737
GCA_038220955.1	CY085607	H1N2	5	swine	taxon:991737
GCA_038220955.1	CY085608	H1N2	6	swine	taxon:991737
GCA_038220955.1	CY085609	H1N2	7	swine	taxon:991737
GCA_038220955.1	CY085610	H1N2	8	swine	taxon:991737
GCA_038276415.1	CY104291	H1N1	1	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104290	H1N1	2	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104289	H1N1	3	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104284	H1N1	4	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104287	H1N1	5	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104286	H1N1	6	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104285	H1N1	7	human; gender M; age 2Y	taxon:1052298
GCA_038276415.1	CY104288	H1N1	8	human; gender M; age 2Y	taxon:1052298
GCA_038275215.1	CY103093	H3N8	1	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103092	H3N8	2	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103091	H3N8	3	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103086	H3N8	4	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103089	H3N8	5	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103088	H3N8	6	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103087	H3N8	7	mallard; gender M; age hatch year	taxon:1093461
GCA_038275215.1	CY103090	H3N8	8	mallard; gender M; age hatch year	taxon:1093461
GCA_038275555.1	CY078698	H2N3	1	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078697	H2N3	2	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078696	H2N3	3	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078691	H2N3	4	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078694	H2N3	5	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078693	H2N3	6	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078692	H2N3	7	mallard; gender M; age Hatch year	taxon:702545
GCA_038275555.1	CY078695	H2N3	8	mallard; gender M; age Hatch year	taxon:702545
GCA_038216405.1	CY157646	H3N2	1	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157645	H3N2	2	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157644	H3N2	3	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157639	H3N2	4	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157642	H3N2	5	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157641	H3N2	6	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157640	H3N2	7	swine; age 11W	taxon:1432646
GCA_038216405.1	CY157643	H3N2	8	swine; age 11W	taxon:1432646
GCA_038276155.1	CY103125	H4N6	1	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103124	H4N6	2	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103123	H4N6	3	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103118	H4N6	4	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103121	H4N6	5	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103120	H4N6	6	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103119	H4N6	7	mallard; gender F; age hatch year	taxon:1093509
GCA_038276155.1	CY103122	H4N6	8	mallard; gender F; age hatch year	taxon:1093509
GCA_038266645.1	KM455918	H5N2	1	chicken	taxon:1541679
GCA_038266645.1	KM455919	H5N2	2	chicken	taxon:1541679
GCA_038266645.1	KM455920	H5N2	3	chicken	taxon:1541679
GCA_038266645.1	KM455921	H5N2	4	chicken	taxon:1541679
GCA_038266645.1	KM455922	H5N2	5	chicken	taxon:1541679
GCA_038266645.1	KM455923	H5N2	6	chicken	taxon:1541679
GCA_038266645.1	KM455924	H5N2	7	chicken	taxon:1541679
GCA_038266645.1	KM455925	H5N2	8	chicken	taxon:1541679
GCA_038275185.1	MF147022	H8N4	1	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF145828	H8N4	2	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF146794	H8N4	3	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF146272	H8N4	4	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF146521	H8N4	5	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF146955	H8N4	6	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF148048	H8N4	7	Anas platyrhynchos	taxon:2004295
GCA_038275185.1	MF146313	H8N4	8	Anas platyrhynchos	taxon:2004295
GCA_037917195.1	CY021940	H2N2	1	Human	taxon:425590
GCA_037917195.1	CY021939	H2N2	2	Human	taxon:425590
GCA_037917195.1	CY021938	H2N2	3	Human	taxon:425590
GCA_037917195.1	CY021933	H2N2	4	Human	taxon:425590
GCA_037917195.1	CY021936	H2N2	5	Human	taxon:425590
GCA_037917195.1	CY021935	H2N2	6	Human	taxon:425590
GCA_037917195.1	CY021934	H2N2	7	Human	taxon:425590
GCA_037917195.1	CY021937	H2N2	8	Human	taxon:425590
GCA_038196025.1	CY024745	H7N3	1	Turkey	taxon:437392
GCA_038196025.1	CY024744	H7N3	2	Turkey	taxon:437392
GCA_038196025.1	CY024743	H7N3	3	Turkey	taxon:437392
GCA_038196025.1	CY024738	H7N3	4	Turkey	taxon:437392
GCA_038196025.1	CY024741	H7N3	5	Turkey	taxon:437392
GCA_038196025.1	CY024740	H7N3	6	Turkey	taxon:437392
GCA_038196025.1	CY024739	H7N3	7	Turkey	taxon:437392
GCA_038196025.1	CY024742	H7N3	8	Turkey	taxon:437392
GCA_038196125.1	CY020612	H7N3	1	Turkey	taxon:431916
GCA_038196125.1	CY020611	H7N3	2	Turkey	taxon:431916
GCA_038196125.1	CY020610	H7N3	3	Turkey	taxon:431916
GCA_038196125.1	CY020605	H7N3	4	Turkey	taxon:431916
GCA_038196125.1	CY020608	H7N3	5	Turkey	taxon:431916
GCA_038196125.1	CY020607	H7N3	6	Turkey	taxon:431916
GCA_038196125.1	CY020606	H7N3	7	Turkey	taxon:431916
GCA_038196125.1	CY020609	H7N3	8	Turkey	taxon:431916
GCA_038197735.1	CY040081	H1N1	1	Human	taxon:627348
GCA_038197735.1	CY040080	H1N1	2	Human	taxon:627348
GCA_038197735.1	CY040079	H1N1	3	Human	taxon:627348
GCA_038197735.1	CY040074	H1N1	4	Human	taxon:627348
GCA_038197735.1	CY040077	H1N1	5	Human	taxon:627348
GCA_038197735.1	CY040076	H1N1	6	Human	taxon:627348
GCA_038197735.1	CY040075	H1N1	7	Human	taxon:627348
GCA_038197735.1	CY040078	H1N1	8	Human	taxon:627348
GCA_038274035.1	CY203676	H6N5	1	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203675	H6N5	2	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203674	H6N5	3	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203669	H6N5	4	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203672	H6N5	5	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203671	H6N5	6	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203670	H6N5	7	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038274035.1	CY203673	H6N5	8	mallard; gender Female; age Hatch year	taxon:1789939
GCA_038192895.1	KC737995	H3N2	1	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	KC738264	H3N2	2	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	KC738534	H3N2	3	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	KC738690	H3N2	4	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	CY091998	H3N2	5	human; gender F; age 5	taxon:1043078
GCA_038192895.1	KC739144	H3N2	6	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	KC739414	H3N2	7	Homo sapiens; female; 5 years	taxon:1043078
GCA_038192895.1	KC739680	H3N2	8	Homo sapiens; female; 5 years	taxon:1043078
GCA_037917705.1	CY020556	H2N2	1	Human	taxon:421963
GCA_037917705.1	CY020555	H2N2	2	Human	taxon:421963
GCA_037917705.1	CY020554	H2N2	3	Human	taxon:421963
GCA_037917705.1	CY020549	H2N2	4	Human	taxon:421963
GCA_037917705.1	CY020552	H2N2	5	Human	taxon:421963
GCA_037917705.1	CY020551	H2N2	6	Human	taxon:421963
GCA_037917705.1	CY020550	H2N2	7	Human	taxon:421963
GCA_037917705.1	CY020553	H2N2	8	Human	taxon:421963
GCA_038188355.1	GQ229265	H1N1	1	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229260	H1N1	2	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229264	H1N1	3	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229261	H1N1	4	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229262	H1N1	5	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229266	H1N1	6	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229263	H1N1	7	Sus scrofa	taxon:649628
GCA_038188355.1	GQ229259	H1N1	8	Sus scrofa	taxon:649628
GCA_038273575.1	CY014520	H5N1	1	Human	taxon:400826
GCA_038273575.1	CY014513	H5N1	2	Human	taxon:400826
GCA_038273575.1	CY014519	H5N1	3	Human	taxon:400826
GCA_038273575.1	CY014518	H5N1	4	Homo sapiens	taxon:400826
GCA_038273575.1	CY014516	H5N1	5	Human	taxon:400826
GCA_038273575.1	CY014515	H5N1	6	Human	taxon:400826
GCA_038273575.1	CY014514	H5N1	7	Human	taxon:400826
GCA_038273575.1	CY014517	H5N1	8	Human	taxon:400826
GCA_038266235.1	KM455934	H5N2	1	chicken	taxon:1541681
GCA_038266235.1	KM455935	H5N2	2	chicken	taxon:1541681
GCA_038266235.1	KM455936	H5N2	3	chicken	taxon:1541681
GCA_038266235.1	KM455937	H5N2	4	chicken	taxon:1541681
GCA_038266235.1	KM455938	H5N2	5	chicken	taxon:1541681
GCA_038266235.1	KM455939	H5N2	6	chicken	taxon:1541681
GCA_038266235.1	KM455940	H5N2	7	chicken	taxon:1541681
GCA_038266235.1	KM455941	H5N2	8	chicken	taxon:1541681
GCA_038174515.1	CY087133	H1N1	1	swine	taxon:991556
GCA_038174515.1	CY087134	H1N1	2	swine	taxon:991556
GCA_038174515.1	CY087135	H1N1	3	swine	taxon:991556
GCA_038174515.1	CY087136	H1N1	4	swine	taxon:991556
GCA_038174515.1	CY087137	H1N1	5	swine	taxon:991556
GCA_038174515.1	CY087138	H1N1	6	swine	taxon:991556
GCA_038174515.1	CY087139	H1N1	7	swine	taxon:991556
GCA_038174515.1	CY087140	H1N1	8	swine	taxon:991556
GCA_038178555.1	CY085307	H1N1	1	swine	taxon:991429
GCA_038178555.1	CY085308	H1N1	2	swine	taxon:991429
GCA_038178555.1	CY085309	H1N1	3	swine	taxon:991429
GCA_038178555.1	CY085310	H1N1	4	swine	taxon:991429
GCA_038178555.1	CY085311	H1N1	5	swine	taxon:991429
GCA_038178555.1	CY085312	H1N1	6	swine	taxon:991429
GCA_038178555.1	CY085313	H1N1	7	swine	taxon:991429
GCA_038178555.1	CY085314	H1N1	8	swine	taxon:991429
GCA_038179575.1	CY021548	H7N1	1	Turkey	taxon:434337
GCA_038179575.1	CY021547	H7N1	2	Turkey	taxon:434337
GCA_038179575.1	CY021546	H7N1	3	Turkey	taxon:434337
GCA_038179575.1	CY021541	H7N1	4	Turkey	taxon:434337
GCA_038179575.1	CY021544	H7N1	5	Turkey	taxon:434337
GCA_038179575.1	CY021543	H7N1	6	Turkey	taxon:434337
GCA_038179575.1	CY021542	H7N1	7	Turkey	taxon:434337
GCA_038179575.1	CY021545	H7N1	8	Turkey	taxon:434337
GCA_038183725.1	KF493486	H7N1	1	turkey	taxon:1381327
GCA_038183725.1	KF493500	H7N1	2	turkey	taxon:1381327
GCA_038183725.1	KF493514	H7N1	3	turkey	taxon:1381327
GCA_038183725.1	KF493471	H7N1	4	turkey	taxon:1381327
GCA_038183725.1	KF493528	H7N1	5	turkey	taxon:1381327
GCA_038183725.1	KF493542	H7N1	6	turkey	taxon:1381327
GCA_038183725.1	KF493556	H7N1	7	turkey	taxon:1381327
GCA_038183725.1	KF493570	H7N1	8	turkey	taxon:1381327
GCA_038186545.1	KF493490	H7N1	1	turkey	taxon:1381300
GCA_038186545.1	KF493504	H7N1	2	turkey	taxon:1381300
GCA_038186545.1	KF493518	H7N1	3	turkey	taxon:1381300
GCA_038186545.1	KF493476	H7N1	4	turkey	taxon:1381300
GCA_038186545.1	KF493532	H7N1	5	turkey	taxon:1381300
GCA_038186545.1	KF493546	H7N1	6	turkey	taxon:1381300
GCA_038186545.1	KF493559	H7N1	7	turkey	taxon:1381300
GCA_038186545.1	KF493573	H7N1	8	turkey	taxon:1381300
GCA_037918365.1	CY020420	H2N2	1	Human	taxon:421969
GCA_037918365.1	CY020419	H2N2	2	Human	taxon:421969
GCA_037918365.1	CY020418	H2N2	3	Human	taxon:421969
GCA_037918365.1	CY020413	H2N2	4	Human	taxon:421969
GCA_037918365.1	CY020416	H2N2	5	Human	taxon:421969
GCA_037918365.1	CY020415	H2N2	6	Human	taxon:421969
GCA_037918365.1	CY020414	H2N2	7	Human	taxon:421969
GCA_037918365.1	CY020417	H2N2	8	Human	taxon:421969
GCA_038174365.1	CY099610	H7N1	1	turkey	taxon:1094376
GCA_038174365.1	CY099611	H7N1	2	turkey	taxon:1094376
GCA_038174365.1	CY099612	H7N1	3	turkey	taxon:1094376
GCA_038174365.1	CY099613	H7N1	4	turkey	taxon:1094376
GCA_038174365.1	CY099614	H7N1	5	turkey	taxon:1094376
GCA_038174365.1	CY099615	H7N1	6	turkey	taxon:1094376
GCA_038174365.1	CY099616	H7N1	7	turkey	taxon:1094376
GCA_038174365.1	CY099617	H7N1	8	turkey	taxon:1094376
GCA_038174295.1	CY024873	H7N1	1	Turkey	taxon:445375
GCA_038174295.1	CY024872	H7N1	2	Turkey	taxon:445375
GCA_038174295.1	CY024871	H7N1	3	Turkey	taxon:445375
GCA_038174295.1	CY024866	H7N1	4	Turkey	taxon:445375
GCA_038174295.1	CY024869	H7N1	5	Turkey	taxon:445375
GCA_038174295.1	CY024868	H7N1	6	Turkey	taxon:445375
GCA_038174295.1	CY024867	H7N1	7	Turkey	taxon:445375
GCA_038174295.1	CY024870	H7N1	8	Turkey	taxon:445375
GCA_038265625.1	KF260814	H9N2	1	chicken	taxon:1347457
GCA_038265625.1	KF260570	H9N2	2	chicken	taxon:1347457
GCA_038265625.1	KF260326	H9N2	3	chicken	taxon:1347457
GCA_038265625.1	KF259072	H9N2	4	chicken	taxon:1347457
GCA_038265625.1	KF259838	H9N2	5	chicken	taxon:1347457
GCA_038265625.1	KF259474	H9N2	6	chicken	taxon:1347457
GCA_038265625.1	KF259319	H9N2	7	chicken	taxon:1347457
GCA_038265625.1	KF260082	H9N2	8	chicken	taxon:1347457
GCA_038265645.1	KF260816	H9N2	1	chicken	taxon:1347484
GCA_038265645.1	KF260572	H9N2	2	chicken	taxon:1347484
GCA_038265645.1	KF260328	H9N2	3	chicken	taxon:1347484
GCA_038265645.1	KF259074	H9N2	4	chicken	taxon:1347484
GCA_038265645.1	KF259840	H9N2	5	chicken	taxon:1347484
GCA_038265645.1	KF259476	H9N2	6	chicken	taxon:1347484
GCA_038265645.1	KF259321	H9N2	7	chicken	taxon:1347484
GCA_038265645.1	KF260084	H9N2	8	chicken	taxon:1347484
GCA_038173675.1	KC737987	H3N2	1	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC738256	H3N2	2	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC738526	H3N2	3	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC738682	H3N2	4	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC738936	H3N2	5	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC739136	H3N2	6	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC739406	H3N2	7	Homo sapiens; male; 17 years	taxon:1302046
GCA_038173675.1	KC739672	H3N2	8	Homo sapiens; male; 17 years	taxon:1302046
GCA_038174065.1	KF493059	H7N1	1	turkey	taxon:1381310
GCA_038174065.1	KF493060	H7N1	2	turkey	taxon:1381310
GCA_038174065.1	KF493061	H7N1	3	turkey	taxon:1381310
GCA_038174065.1	KF493058	H7N1	4	turkey	taxon:1381310
GCA_038174065.1	KF493062	H7N1	5	turkey	taxon:1381310
GCA_038174065.1	KF493063	H7N1	6	turkey	taxon:1381310
GCA_038174065.1	KF493064	H7N1	7	turkey	taxon:1381310
GCA_038174065.1	KF493065	H7N1	8	turkey	taxon:1381310
GCA_038265605.1	KF260812	H9N2	1	chicken	taxon:1347449
GCA_038265605.1	KF260568	H9N2	2	chicken	taxon:1347449
GCA_038265605.1	KF260324	H9N2	3	chicken	taxon:1347449
GCA_038265605.1	KF259070	H9N2	4	chicken	taxon:1347449
GCA_038265605.1	KF259836	H9N2	5	chicken	taxon:1347449
GCA_038265605.1	KF259472	H9N2	6	chicken	taxon:1347449
GCA_038265605.1	KF259317	H9N2	7	chicken	taxon:1347449
GCA_038265605.1	KF260080	H9N2	8	chicken	taxon:1347449
GCA_038172975.1	KF493013	H7N1	1	turkey	taxon:1381283
GCA_038172975.1	KF493015	H7N1	2	turkey	taxon:1381283
GCA_038172975.1	KF493017	H7N1	3	turkey	taxon:1381283
GCA_038172975.1	KF493011	H7N1	4	turkey	taxon:1381283
GCA_038172975.1	KF493019	H7N1	5	turkey	taxon:1381283
GCA_038172975.1	KF493021	H7N1	6	turkey	taxon:1381283
GCA_038172975.1	KF493023	H7N1	7	turkey	taxon:1381283
GCA_038172975.1	KF493025	H7N1	8	turkey	taxon:1381283
GCA_038271225.1	CY014383	H5N1	1	Human	taxon:400808
GCA_038271225.1	CY014382	H5N1	2	Human	taxon:400808
GCA_038271225.1	CY014381	H5N1	3	Human	taxon:400808
GCA_038271225.1	CY014376	H5N1	4	Homo sapiens	taxon:400808
GCA_038271225.1	CY014379	H5N1	5	Human	taxon:400808
GCA_038271225.1	CY014378	H5N1	6	Human	taxon:400808
GCA_038271225.1	CY014377	H5N1	7	Homo sapiens	taxon:400808
GCA_038271225.1	CY014380	H5N1	8	Human	taxon:400808
GCA_038271595.1	CY014269	H5N1	1	Human	taxon:400810
GCA_038271595.1	CY014270	H5N1	2	Human	taxon:400810
GCA_038271595.1	CY014271	H5N1	3	Human	taxon:400810
GCA_038271595.1	CY014272	H5N1	4	Human	taxon:400810
GCA_038271595.1	CY014273	H5N1	5	Human	taxon:400810
GCA_038271595.1	CY014274	H5N1	6	Human	taxon:400810
GCA_038271595.1	CY014275	H5N1	7	Human	taxon:400810
GCA_038271595.1	CY014276	H5N1	8	Human	taxon:400810
GCA_038171995.1	GU052991	H7N1	1	turkey	taxon:445375
GCA_038171995.1	GU052990	H7N1	2	turkey	taxon:445375
GCA_038171995.1	GU052989	H7N1	3	turkey	taxon:445375
GCA_038171995.1	GU052984	H7N1	4	turkey	taxon:445375
GCA_038171995.1	GU052987	H7N1	5	turkey	taxon:445375
GCA_038171995.1	GU052986	H7N1	6	turkey	taxon:445375
GCA_038171995.1	GU052985	H7N1	7	turkey	taxon:445375
GCA_038171995.1	GU052988	H7N1	8	turkey	taxon:445375
GCA_038265255.1	MF147011	H11N9	1	Anas crecca	taxon:2004282
GCA_038265255.1	MF146809	H11N9	2	Anas crecca	taxon:2004282
GCA_038265255.1	MF146236	H11N9	3	Anas crecca	taxon:2004282
GCA_038265255.1	MF147286	H11N9	4	Anas crecca	taxon:2004282
GCA_038265255.1	MF147542	H11N9	5	Anas crecca	taxon:2004282
GCA_038265255.1	MF146170	H11N9	6	Anas crecca	taxon:2004282
GCA_038265255.1	MF147116	H11N9	7	Anas crecca	taxon:2004282
GCA_038265255.1	MF146197	H11N9	8	Anas crecca	taxon:2004282
GCA_038171685.1	GU052937	H7N1	1	turkey	taxon:433439
GCA_038171685.1	GU052936	H7N1	2	turkey	taxon:433439
GCA_038171685.1	GU052935	H7N1	3	turkey	taxon:433439
GCA_038171685.1	GU052930	H7N1	4	turkey	taxon:433439
GCA_038171685.1	GU052933	H7N1	5	turkey	taxon:433439
GCA_038171685.1	GU052932	H7N1	6	turkey	taxon:433439
GCA_038171685.1	GU052931	H7N1	7	turkey	taxon:433439
GCA_038171685.1	GU052934	H7N1	8	turkey	taxon:433439
GCA_038171665.1	GU053022	H7N1	1	turkey	taxon:433438
GCA_038171665.1	GU053021	H7N1	2	turkey	taxon:433438
GCA_038171665.1	GU053020	H7N1	3	turkey	taxon:433438
GCA_038171665.1	GU053015	H7N1	4	turkey	taxon:433438
GCA_038171665.1	GU053018	H7N1	5	turkey	taxon:433438
GCA_038171665.1	GU053017	H7N1	6	turkey	taxon:433438
GCA_038171665.1	GU053016	H7N1	7	turkey	taxon:433438
GCA_038171665.1	GU053019	H7N1	8	turkey	taxon:433438
GCA_038169785.1	CY116328	H3N2	1	swine	taxon:1176121
GCA_038169785.1	CY116329	H3N2	2	swine	taxon:1176121
GCA_038169785.1	JX843281	H3N2	3	swine	taxon:1176121
GCA_038169785.1	CY116330	H3N2	4	swine	taxon:1176121
GCA_038169785.1	CY116331	H3N2	5	swine	taxon:1176121
GCA_038169785.1	CY116332	H3N2	6	swine	taxon:1176121
GCA_038169785.1	CY116333	H3N2	7	swine	taxon:1176121
GCA_038169785.1	CY116334	H3N2	8	swine	taxon:1176121
GCA_038268865.1	CY203628	H7N4	1	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203627	H7N4	2	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203626	H7N4	3	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203621	H7N4	4	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203624	H7N4	5	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203623	H7N4	6	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203622	H7N4	7	mallard; gender Male; age Unknown	taxon:1789951
GCA_038268865.1	CY203625	H7N4	8	mallard; gender Male; age Unknown	taxon:1789951
GCA_038269295.1	EU146728	H5N1	1	Homo sapiens	taxon:468959
GCA_038269295.1	EU146727	H5N1	2	Homo sapiens	taxon:468959
GCA_038269295.1	EU146726	H5N1	3	Homo sapiens	taxon:468959
GCA_038269295.1	EU146721	H5N1	4	Homo sapiens	taxon:468959
GCA_038269295.1	EU146724	H5N1	5	Homo sapiens	taxon:468959
GCA_038269295.1	EU146723	H5N1	6	Homo sapiens	taxon:468959
GCA_038269295.1	EU146722	H5N1	7	Homo sapiens	taxon:468959
GCA_038269295.1	EU146725	H5N1	8	Homo sapiens	taxon:468959
GCA_038169315.1	CY116320	H1N2	1	swine	taxon:1176093
GCA_038169315.1	CY116321	H1N2	2	swine	taxon:1176093
GCA_038169315.1	CY116322	H1N2	3	swine	taxon:1176093
GCA_038169315.1	CY116323	H1N2	4	swine	taxon:1176093
GCA_038169315.1	CY116324	H1N2	5	swine	taxon:1176093
GCA_038169315.1	CY116325	H1N2	6	swine	taxon:1176093
GCA_038169315.1	CY116326	H1N2	7	swine	taxon:1176093
GCA_038169315.1	CY116327	H1N2	8	swine	taxon:1176093
GCA_038267655.1	GQ923244	H5N2	1	mallard	taxon:675029
GCA_038267655.1	GQ923243	H5N2	2	mallard	taxon:675029
GCA_038267655.1	GQ923242	H5N2	3	mallard	taxon:675029
GCA_038267655.1	GQ923237	H5N2	4	mallard	taxon:675029
GCA_038267655.1	GQ923240	H5N2	5	mallard	taxon:675029
GCA_038267655.1	GQ923239	H5N2	6	mallard	taxon:675029
GCA_038267655.1	GQ923238	H5N2	7	mallard	taxon:675029
GCA_038267655.1	GQ923241	H5N2	8	mallard	taxon:675029
GCA_038263045.1	CY008659	H3N2	1	human	taxon:353484
GCA_038263045.1	CY008658	H3N2	2	human	taxon:353484
GCA_038263045.1	CY008657	H3N2	3	human	taxon:353484
GCA_038263045.1	CY008652	H3N2	4	human	taxon:353484
GCA_038263045.1	CY008655	H3N2	5	human	taxon:353484
GCA_038263045.1	CY008654	H3N2	6	human	taxon:353484
GCA_038263045.1	CY008653	H3N2	7	Homo sapiens	taxon:353484
GCA_038263045.1	CY008656	H3N2	8	human	taxon:353484
GCA_037919965.1	LC431391	H4N1	1	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431392	H4N1	2	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431393	H4N1	3	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431394	H4N1	4	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431395	H4N1	5	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431396	H4N1	6	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431397	H4N1	7	Anseriformes sp.	taxon:11320
GCA_037919965.1	LC431398	H4N1	8	Anseriformes sp.	taxon:11320
GCA_038263735.1	MF145808	H9N2	1	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF147525	H9N2	2	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF145741	H9N2	3	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF146038	H9N2	4	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF145886	H9N2	5	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF147985	H9N2	6	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF147200	H9N2	7	Anas platyrhynchos	taxon:2004303
GCA_038263735.1	MF147545	H9N2	8	Anas platyrhynchos	taxon:2004303
GCA_038264225.1	MF147783	H11N3	1	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF147884	H11N3	2	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF146777	H11N3	3	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF146908	H11N3	4	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF147219	H11N3	5	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF146705	H11N3	6	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF146121	H11N3	7	Anas platyrhynchos	taxon:2004314
GCA_038264225.1	MF145832	H11N3	8	Anas platyrhynchos	taxon:2004314
GCA_038264525.1	CY020908	H10N8	1	Longtail Duck	taxon:383309
GCA_038264525.1	CY020907	H10N8	2	Longtail Duck	taxon:383309
GCA_038264525.1	CY020906	H10N8	3	Longtail Duck	taxon:383309
GCA_038264525.1	CY020901	H10N8	4	Longtail Duck	taxon:383309
GCA_038264525.1	CY020904	H10N8	5	Longtail Duck	taxon:383309
GCA_038264525.1	CY020903	H10N8	6	Longtail Duck	taxon:383309
GCA_038264525.1	CY020902	H10N8	7	Longtail Duck	taxon:383309
GCA_038264525.1	CY020905	H10N8	8	Longtail Duck	taxon:383309
GCA_038264835.1	CY110756	H3N2	1	human; gender F; age Adult	taxon:1150838
GCA_038264835.1	CY110757	H3N2	2	human; gender F; age Adult	taxon:1150838
